username,repo_name,stars,repo_url
mrdoob,three.js,88400,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,21100,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,21000,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,19200,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,15800,https://github.com/ssloy/tinyrenderer
aframevr,aframe,15000,https://github.com/aframevr/aframe
lettier,3d-game-shaders-for-beginners,14400,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,13000,https://github.com/FreeCAD/FreeCAD
CesiumGS,cesium,9800,https://github.com/CesiumGS/cesium
metafizzy,zdog,9500,https://github.com/metafizzy/zdog
timzhang642,3D-Machine-Learning,8600,https://github.com/timzhang642/3D-Machine-Learning
isl-org,Open3D,8000,https://github.com/isl-org/Open3D
blender,blender,7500,https://github.com/blender/blender
a1studmuffin,SpaceshipGenerator,7300,https://github.com/a1studmuffin/SpaceshipGenerator
domlysz,BlenderGIS,6000,https://github.com/domlysz/BlenderGIS
FyroxEngine,Fyrox,5700,https://github.com/FyroxEngine/Fyrox
openscad,openscad,5300,https://github.com/openscad/openscad
google,model-viewer,5200,https://github.com/google/model-viewer
spritejs,spritejs,5100,https://github.com/spritejs/spritejs
jagenjo,webglstudio.js,4800,https://github.com/jagenjo/webglstudio.js
