username,repo_name,stars,repo_url
public-apis,public-apis,226000,https://github.com/public-apis/public-apis
neovim,neovim,61600,https://github.com/neovim/neovim
tiangolo,fastapi,53700,https://github.com/tiangolo/fastapi
strapi,strapi,51400,https://github.com/strapi/strapi
hoppscotch,hoppscotch,49500,https://github.com/hoppscotch/hoppscotch
ocornut,imgui,44900,https://github.com/ocornut/imgui
slatedocs,slate,34900,https://github.com/slatedocs/slate
meilisearch,meilisearch,32100,https://github.com/meilisearch/meilisearch
hasura,graphql-engine,29100,https://github.com/hasura/graphql-engine
ccxt,ccxt,27000,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,26700,https://github.com/Binaryify/NeteaseCloudMusicApi
Kong,insomnia,26200,https://github.com/Kong/insomnia
httpie,httpie,26000,https://github.com/httpie/httpie
YMFE,yapi,25600,https://github.com/YMFE/yapi
encode,django-rest-framework,24900,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,22800,https://github.com/littlecodersh/ItChat
paularmstrong,normalizr,21000,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,20600,https://github.com/FallibleInc/security-guide-for-developers
microsoft,api-guidelines,20600,https://github.com/microsoft/api-guidelines
PostgREST,postgrest,19900,https://github.com/PostgREST/postgrest
