username,repo_name,stars,repo_url
jwasham,coding-interview-university,245000,https://github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,161000,https://github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,159000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,151000,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,85200,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,59100,https://github.com/kdn251/interviews
azl397985856,leetcode,50300,https://github.com/azl397985856/leetcode
TheAlgorithms,Java,49900,https://github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,42100,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,34800,https://github.com/youngyangyang04/leetcode-master
halfrost,LeetCode-Go,29000,https://github.com/halfrost/LeetCode-Go
huihut,interview,27200,https://github.com/huihut/interview
crossoverJie,JCSprout,26900,https://github.com/crossoverJie/JCSprout
donnemartin,interactive-coding-challenges,26800,https://github.com/donnemartin/interactive-coding-challenges
TheAlgorithms,JavaScript,24500,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,22900,https://github.com/TheAlgorithms/C-Plus-Plus
keon,algorithms,22100,https://github.com/keon/algorithms
trekhleb,homemade-machine-learning,20800,https://github.com/trekhleb/homemade-machine-learning
mxgmn,WaveFunctionCollapse,20500,https://github.com/mxgmn/WaveFunctionCollapse
AtsushiSakai,PythonRobotics,17300,https://github.com/AtsushiSakai/PythonRobotics
