username,repo_name,stars,repo_url
sindresorhus,awesome,236000,https://github.com/sindresorhus/awesome
vinta,awesome-python,154000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,116000,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,95100,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,87700,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,68700,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,63800,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,60600,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,57100,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,52800,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,49000,https://github.com/sindresorhus/awesome-nodejs
MunGell,awesome-for-beginners,47600,https://github.com/MunGell/awesome-for-beginners
wasabeef,awesome-android-ui,45200,https://github.com/wasabeef/awesome-android-ui
prakhar1989,awesome-courses,45100,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,45000,https://github.com/Solido/awesome-flutter
binhnguyennus,awesome-scalability,43300,https://github.com/binhnguyennus/awesome-scalability
fffaraz,awesome-cpp,43200,https://github.com/fffaraz/awesome-cpp
vsouza,awesome-ios,41700,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,39100,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,36600,https://github.com/dypsilon/frontend-dev-bookmarks
