username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,126000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,64099,https://github.com/nvm-sh/nvm
junegunn,fzf,49400,https://github.com/junegunn/fzf
google,zx,35900,https://github.com/google/zx
dylanaraps,pure-bash-bible,32900,https://github.com/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,32100,https://github.com/LeCoupa/awesome-cheatsheets
starship,starship,32100,https://github.com/starship/starship
koalaman,shellcheck,31200,https://github.com/koalaman/shellcheck
acmesh-official,acme.sh,30100,https://github.com/acmesh-official/acme.sh
mathiasbynens,dotfiles,28700,https://github.com/mathiasbynens/dotfiles
alebcay,awesome-shell,26300,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,22500,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,21100,https://github.com/withfig/autocomplete
dylanaraps,neofetch,17100,https://github.com/dylanaraps/neofetch
Nyr,openvpn-install,16500,https://github.com/Nyr/openvpn-install
rbenv,rbenv,14800,https://github.com/rbenv/rbenv
shelljs,shelljs,13700,https://github.com/shelljs/shelljs
powerline,powerline,13700,https://github.com/powerline/powerline
faressoft,terminalizer,13600,https://github.com/faressoft/terminalizer
Bash-it,bash-it,13400,https://github.com/Bash-it/bash-it
