username,repo_name,stars,repo_url
ccxt,ccxt,27000,https://github.com/ccxt/ccxt
discordjs,discord.js,21700,https://github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,20800,https://github.com/python-telegram-bot/python-telegram-bot
hubotio,hubot,16400,https://github.com/hubotio/hubot
RasaHQ,rasa,15400,https://github.com/RasaHQ/rasa
InstaPy,InstaPy,15000,https://github.com/InstaPy/InstaPy
wechaty,wechaty,14600,https://github.com/wechaty/wechaty
gunthercox,ChatterBot,12800,https://github.com/gunthercox/ChatterBot
tgbot-collection,YYeTsBot,12400,https://github.com/tgbot-collection/YYeTsBot
Rapptz,discord.py,12100,https://github.com/Rapptz/discord.py
leon-ai,leon,11800,https://github.com/leon-ai/leon
howdyai,botkit,11000,https://github.com/howdyai/botkit
botpress,botpress,10000,https://github.com/botpress/botpress
sfyc23,EverydayWechat,9400,https://github.com/sfyc23/EverydayWechat
pedroslopez,whatsapp-web.js,8700,https://github.com/pedroslopez/whatsapp-web.js
microsoft,ailab,7200,https://github.com/microsoft/ailab
microsoft,botframework-sdk,7000,https://github.com/microsoft/botframework-sdk
EZFNDEV,EZFN-Lobbybot,6900,https://github.com/EZFNDEV/EZFN-Lobbybot
yagop,node-telegram-bot-api,6800,https://github.com/yagop/node-telegram-bot-api
Mrs4s,go-cqhttp,6800,https://github.com/Mrs4s/go-cqhttp
