username,repo_name,stars,repo_url
CyC2018,CS-Notes,161000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,87500,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,50300,https://github.com/azl397985856/leetcode
fffaraz,awesome-cpp,43200,https://github.com/fffaraz/awesome-cpp
x64dbg,x64dbg,39700,https://github.com/x64dbg/x64dbg
youngyangyang04,leetcode-master,34800,https://github.com/youngyangyang04/leetcode-master
carbon-language,carbon-lang,29400,https://github.com/carbon-language/carbon-lang
huihut,interview,27200,https://github.com/huihut/interview
microsoft,calculator,26600,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,25800,https://github.com/CMU-Perceptual-Computing-Lab/openpose
yuzu-emu,yuzu,23500,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,22900,https://github.com/TheAlgorithms/C-Plus-Plus
doocs,leetcode,20000,https://github.com/doocs/leetcode
changkun,modern-cpp-tutorial,19700,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,19300,https://github.com/ethereum/solidity
microsoft,vcpkg,17700,https://github.com/microsoft/vcpkg
gabime,spdlog,16700,https://github.com/gabime/spdlog
dragonflydb,dragonfly,16700,https://github.com/dragonflydb/dragonfly
catchorg,Catch2,16100,https://github.com/catchorg/Catch2
ssloy,tinyrenderer,15800,https://github.com/ssloy/tinyrenderer
