username,repo_name,stars,repo_url
Genymobile,scrcpy,75700,https://github.com/Genymobile/scrcpy
neovim,neovim,61600,https://github.com/neovim/neovim
obsproject,obs-studio,45000,https://github.com/obsproject/obs-studio
git,git,45000,https://github.com/git/git
fffaraz,awesome-cpp,43200,https://github.com/fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,33800,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,33700,https://github.com/FFmpeg/FFmpeg
vim,vim,29400,https://github.com/vim/vim
curl,curl,28200,https://github.com/curl/curl
huihut,interview,27200,https://github.com/huihut/interview
ggreer,the_silver_searcher,24500,https://github.com/ggreer/the_silver_searcher
pbatard,rufus,21500,https://github.com/pbatard/rufus
mpv-player,mpv,21200,https://github.com/mpv-player/mpv
ossrs,srs,20500,https://github.com/ossrs/srs
ruby,ruby,19900,https://github.com/ruby/ruby
google,flatbuffers,19800,https://github.com/google/flatbuffers
oracle,graal,18100,https://github.com/oracle/graal
microsoft,vcpkg,17700,https://github.com/microsoft/vcpkg
kovidgoyal,kitty,17500,https://github.com/kovidgoyal/kitty
radareorg,radare2,17400,https://github.com/radareorg/radare2
