username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,32800,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,22500,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,20100,https://github.com/refined-github/refined-github
darkreader,darkreader,15800,https://github.com/darkreader/darkreader
checkly,headless-recorder,14700,https://github.com/checkly/headless-recorder
unbug,codelf,13400,https://github.com/unbug/codelf
Anarios,return-youtube-dislike,10600,https://github.com/Anarios/return-youtube-dislike
dailydotdev,daily,10600,https://github.com/dailydotdev/daily
crimx,ext-saladict,10200,https://github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,10000,https://github.com/gildas-lormeau/SingleFile
listen1,listen1_chrome_extension,9500,https://github.com/listen1/listen1_chrome_extension
wong2,chat-gpt-google-extension,8800,https://github.com/wong2/chat-gpt-google-extension
appbaseio,dejavu,8000,https://github.com/appbaseio/dejavu
alyssaxuu,screenity,7900,https://github.com/alyssaxuu/screenity
Kenshin,simpread,6700,https://github.com/Kenshin/simpread
ajayyy,SponsorBlock,6300,https://github.com/ajayyy/SponsorBlock
AutomaApp,automa,6200,https://github.com/AutomaApp/automa
alyssaxuu,omni,5900,https://github.com/alyssaxuu/omni
dessant,buster,5600,https://github.com/dessant/buster
manojVivek,medium-unlimited,5100,https://github.com/manojVivek/medium-unlimited
