username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,155000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,49400,https://github.com/junegunn/fzf
sharkdp,bat,39200,https://github.com/sharkdp/bat
sherlock-project,sherlock,38700,https://github.com/sherlock-project/sherlock
google,zx,35900,https://github.com/google/zx
wagoodman,dive,35400,https://github.com/wagoodman/dive
BurntSushi,ripgrep,35300,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,34500,https://github.com/chubin/cheat.sh
jesseduffield,lazygit,32200,https://github.com/jesseduffield/lazygit
cli,cli,31100,https://github.com/cli/cli
spf13,cobra,30400,https://github.com/spf13/cobra
n8n-io,n8n,27800,https://github.com/n8n-io/n8n
alebcay,awesome-shell,26300,https://github.com/alebcay/awesome-shell
sharkdp,fd,26100,https://github.com/sharkdp/fd
httpie,httpie,26000,https://github.com/httpie/httpie
angular,angular-cli,25900,https://github.com/angular/angular-cli
ibraheemdev,modern-unix,25400,https://github.com/ibraheemdev/modern-unix
tqdm,tqdm,23800,https://github.com/tqdm/tqdm
google,python-fire,23700,https://github.com/google/python-fire
vercel,pkg,22700,https://github.com/vercel/pkg
