username,repo_name,stars,repo_url
vercel,next.js,99600,https://github.com/vercel/next.js
rust-lang,rust,76900,https://github.com/rust-lang/rust
sveltejs,svelte,65000,https://github.com/sveltejs/svelte
webpack,webpack,62400,https://github.com/webpack/webpack
gatsbyjs,gatsby,54000,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,43700,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,41900,https://github.com/parcel-bundler/parcel
babel,babel,41800,https://github.com/babel/babel
evanw,esbuild,34400,https://github.com/evanw/esbuild
vlang,v,31200,https://github.com/vlang/v
carbon-language,carbon-lang,29400,https://github.com/carbon-language/carbon-lang
markedjs,marked,29000,https://github.com/markedjs/marked
swc-project,swc,25700,https://github.com/swc-project/swc
vercel,pkg,22700,https://github.com/vercel/pkg
v8,v8,20700,https://github.com/v8/v8
ziglang,zig,19500,https://github.com/ziglang/zig
AssemblyScript,assemblyscript,15100,https://github.com/AssemblyScript/assemblyscript
nim-lang,Nim,14500,https://github.com/nim-lang/Nim
Konloch,bytecode-viewer,13500,https://github.com/Konloch/bytecode-viewer
RustPython,RustPython,13400,https://github.com/RustPython/RustPython
