username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,98900,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,86000,https://github.com/angular/angular
storybookjs,storybook,76200,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,54300,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,48500,https://github.com/ionic-team/ionic-framework
prettier,prettier,44700,https://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,32299,https://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,32100,https://github.com/SheetJS/sheetjs
angular,angular-cli,25900,https://github.com/angular/angular-cli
angular,components,23300,https://github.com/angular/components
NativeScript,NativeScript,22100,https://github.com/NativeScript/NativeScript
jhipster,generator-jhipster,20300,https://github.com/jhipster/generator-jhipster
goldbergyoni,javascript-testing-best-practices,20000,https://github.com/goldbergyoni/javascript-testing-best-practices
pubkey,rxdb,18700,https://github.com/pubkey/rxdb
teambit,bit,16300,https://github.com/teambit/bit
nrwl,nx,16200,https://github.com/nrwl/nx
sweetalert2,sweetalert2,15500,https://github.com/sweetalert2/sweetalert2
wailsapp,wails,13800,https://github.com/wailsapp/wails
sudheerj,javascript-interview-questions,13700,https://github.com/sudheerj/javascript-interview-questions
linnovate,mean,12200,https://github.com/linnovate/mean
